bookName,authorName,religion,numCopies,checkedOutCopies
American Catholic: A Historical Exploration,Karen Kennelly,Catholicism,1,0
Catholic Intellectual Life in America: A Historical Study of Persons and Movements,Margaret Mary Reher,Catholicism,1,0
Examining the Catholic Intellectual Tradition,Anthony J. Cernera and Oliver J. Morgan,Catholicism,1,0
Living Stones: The History and Structure of Catholic Spiritual Life in the United States,"Joseph P. Chinnici, O.F.M",Catholicism,1,0
New Catholic Encyclopedia - The Wajtyla Years,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 1,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 10,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 11,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 12,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 13,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 14,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 15,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 2,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 3,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 4,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 5,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 6,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 7,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 8,N/A,Catholicism,1,0
New Catholic Encyclopedia Volume 9,N/A,Catholicism,1,0
Patterns of Episcopal Leadership,Gerald P. Fogarty,Catholicism,1,0
Proclaiming Justice & Peace: Documents from John XXIII - John Paul II,Michael Walsh and Brian Davies,Catholicism,1,0
Public Catholicism,David O'Brien,Catholicism,1,0
Sacraments and Sacramentality,Bernard Cooke,Catholicism,1,0
The Dead Sea Scrolls: Angelic Liturgy: Songs of the Sabbath Sacrifice,Mohr Siebeck,Catholicism,1,0
The Dead Sea Scrolls: Damascus Document - War Scroll,J.C.B Mohr,Catholicism,1,0
The Dead Sea Scrolls: Damascus Document II - Some Works of the Torah,Mohr Siebeck,Catholicism,1,0
"The Dead Sea Scrolls: Pesharim, Other Commentaries, and Related Documents",Mohr Siebeck,Catholicism,2,0
The Dead Sea Scrolls: Pseudupigraphic and Non-Masoretic Psalms and Prayers,Mohr Siebeck,Catholicism,1,0
The Dead Sea Scrolls: Rule of the Community,J.C.B Mohr,Catholicism,2,0
The Dead Sea Scrolls: Temple Scroll and Related Documents,Mohr Siebeck,Catholicism,1,0
 A Short History of Christian Thought,Linwood Urban,Christianity,1,0
 The Clash of God - A Reinterpretation of Early Christian  Art (revised and expanded edition),Thomas F. Mathews,Christianity,1,0
A Commentary on Galatians,William Perkins,Christianity,1,0
A Commentary on Hebrews 11 (1609 Edition),William Perkins,Christianity,2,0
A Dictionary of Asian Christianity,Scott W. Sunquist,Christianity,1,0
A Greek English Lexicon of the Septuagint,T. Muraoka,Christianity,2,0
A Guide to Biblical Sites in Greece and Turkey,Clyde E. Fant and Mitchell G. Reddish,Christianity,1,0
A Guide to Greek Though: Major Figures and Trends,Jacques Brunschwig and Geoffrey E. R. Lloyd,Christianity,1,0
A Guide to the Study of Greco-Roman and Jewish and Christian History and Literature,Philip Walker Jacobs,Christianity,1,0
A History of Christianity in Asia: Volume 1 (Beginnings to 1500),Samuel Hugh Moffett,Christianity,1,0
A New Eusebius: Documents Illustrating the History of the Church to AD 337,J. Stevenson,Christianity,1,0
A People's History of Christianity 3: Byzantine Christianity,Derek Krueger,Christianity,1,0
A People's History of Christianity 1: Christian Origins,Richard A. Horsley,Christianity,1,0
A People's History of Christianity 2: Late Ancient Christianity,Virginia Burrus,Christianity,1,0
A People's History of Christianity 4: Reformation Christianity,Peter Matheson,Christianity,1,0
A Scholastic Miscellany: Anselm to Ockham,Eugene R. Fairweather,Christianity,1,0
