locationId,wing,shelf,bookName,authorName
324527743,CHAP-108 Bookcases (closest to chapel),3.2,American Catholic: A Historical Exploration,Karen Kennelly
846457769,CHAP-108 Bookcases (closest to chapel),3.2,Catholic Intellectual Life in America: A Historical Study of Persons and Movements,Margaret Mary Reher
230580513,CHAP-108 Bookcases (closest to chapel),3.2,Examining the Catholic Intellectual Tradition,Anthony J. Cernera and Oliver J. Morgan
140100748,CHAP-108 Bookcases (closest to chapel),3.2,Living Stones: The History and Structure of Catholic Spiritual Life in the United States,"Joseph P. Chinnici, O.F.M"
480913221,CHAP-108 Bookcases (closest to chapel),3.2,New Catholic Encyclopedia - The Wajtyla Years,N/A
37105089,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 1,N/A
656402174,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 10,N/A
13593744,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 11,N/A
274996290,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 12,N/A
911645950,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 13,N/A
594931478,CHAP-108 Bookcases (closest to chapel),3.2,New Catholic Encyclopedia Volume 14,N/A
329301383,CHAP-108 Bookcases (closest to chapel),3.2,New Catholic Encyclopedia Volume 15,N/A
590696641,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 2,N/A
434091254,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 3,N/A
539296298,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 4,N/A
546591952,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 5,N/A
60932179,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 6,N/A
14931209,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 7,N/A
92118399,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 8,N/A
387113531,CHAP-108 Bookcases (closest to chapel),3.1,New Catholic Encyclopedia Volume 9,N/A
116084766,CHAP-108 Bookcases (closest to chapel),3.2,Patterns of Episcopal Leadership,Gerald P. Fogarty
413706698,CHAP-108 Bookcases (closest to chapel),3.2,Proclaiming Justice & Peace: Documents from John XXIII - John Paul II,Michael Walsh and Brian Davies
931267425,CHAP-108 Bookcases (closest to chapel),3.2,Public Catholicism,David O'Brien
445820919,CHAP-108 Bookcases (closest to chapel),3.2,Sacraments and Sacramentality,Bernard Cooke
53992841,CHAP-108 Bookcases (closest to chapel),3.2,The Dead Sea Scrolls: Angelic Liturgy: Songs of the Sabbath Sacrifice,Mohr Siebeck
367598641,CHAP-108 Bookcases (closest to chapel),3.2,The Dead Sea Scrolls: Damascus Document - War Scroll,J.C.B Mohr
871116636,CHAP-108 Bookcases (closest to chapel),3.2,The Dead Sea Scrolls: Damascus Document II - Some Works of the Torah,Mohr Siebeck
17340324,CHAP-108 Bookcases (closest to chapel),3.2,"The Dead Sea Scrolls: Pesharim, Other Commentaries, and Related Documents",Mohr Siebeck
110790815,CHAP-108 Bookcases (closest to chapel),3.2,The Dead Sea Scrolls: Pseudupigraphic and Non-Masoretic Psalms and Prayers,Mohr Siebeck
410288042,CHAP-108 Bookcases (closest to chapel),3.2,The Dead Sea Scrolls: Rule of the Community,J.C.B Mohr
520576374,CHAP-108 Bookcases (closest to chapel),3.2,The Dead Sea Scrolls: Temple Scroll and Related Documents,Mohr Siebeck
141732566,CHAP-108 Bookcases (closest to chapel),1.3, A Short History of Christian Thought,Linwood Urban
583769700,CHAP-108 Bookcases (closest to offices),7.3, The Clash of God - A Reinterpretation of Early Christian  Art (revised and expanded edition),Thomas F. Mathews
466660833,CHAP-108 Bookcases (closest to offices),8.1,A Commentary on Galatians,William Perkins
56458318,CHAP-108 Bookcases (closest to offices),8.1,A Commentary on Hebrews 11 (1609 Edition),William Perkins
387673194,CHAP-108 Bookcases (closest to offices),8.3,A Dictionary of Asian Christianity,Scott W. Sunquist
289541768,CHAP-108 Bookcases (closest to offices),"8.2, 10.3",A Greek English Lexicon of the Septuagint,T. Muraoka
663154686,CHAP-108 Bookcases (closest to offices),8.2,A Guide to Biblical Sites in Greece and Turkey,Clyde E. Fant and Mitchell G. Reddish
140483168,CHAP-108 Bookcases (closest to chapel),1.4,A Guide to Greek Though: Major Figures and Trends,Jacques Brunschwig and Geoffrey E. R. Lloyd
781734154,CHAP-108 Bookcases (closest to chapel),1.4,A Guide to the Study of Greco-Roman and Jewish and Christian History and Literature,Philip Walker Jacobs
535745553,CHAP-108 Bookcases (closest to offices),8.2,A History of Christianity in Asia: Volume 1 (Beginnings to 1500),Samuel Hugh Moffett
61592847,CHAP-108 Bookcases (closest to offices),7.3,A New Eusebius: Documents Illustrating the History of the Church to AD 337,J. Stevenson
857446740,CHAP-108 Bookcases (closest to chapel),1.4,A People's History of Christianity 3: Byzantine Christianity,Derek Krueger
99373855,CHAP-108 Bookcases (closest to chapel),1.4,A People's History of Christianity 1: Christian Origins,Richard A. Horsley
451170196,CHAP-108 Bookcases (closest to chapel),1.4,A People's History of Christianity 2: Late Ancient Christianity,Virginia Burrus
269177967,CHAP-108 Bookcases (closest to chapel),1.4,A People's History of Christianity 4: Reformation Christianity,Peter Matheson
31890967,CHAP-108 Bookcases (closest to offices),7.4,A Scholastic Miscellany: Anselm to Ockham,Eugene R. Fairweather
172918374,CHAP-108 Bookcases (closest to offices),7.4,A World Full of Gods: The Strange Triumph of Christianity,Keith Hopkins
167018840,CHAP-108 Bookcases (closest to chapel),1.3,Acts: A Commentary,Carl R. Holladay
686948985,Office # 108-A Bookcases,9.3,"Adam and Eve in Scripture, Theology, and Literature: Sin, Compassion, and Forgiveness",Peter B. Ely
938402133,CHAP-108 Bookcases (closest to offices),8.4,After the New Testament,Bart D. Ehrman
889446354,CHAP-108 Bookcases (closest to offices),8.1,Agape and Diakonia: Esasys in Memory of Bishop Gerasimos of Abydos,Fr. Pter A. Chamberas
717163784,CHAP-108 Bookcases (closest to offices),7.3,Ambrose,Boniface Ramsey O.P.
647055473,CHAP-108 Bookcases (closest to offices),8.4,An Exposition of the Seven Church Ages,William Marrion Branham
823904487,CHAP-108 Bookcases (closest to chapel),1.3,Anatomy of the New Testament,"Robert A Spivey, D. Moody Smith, C. Clifton Black"
639316367,Office # 108-A Bookcases,10.2,Ancient Apocryphal Gospels,Markus Bockmuehl
977564870,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture:  New Testament VII - 1-2 Corinthians,Gerald Bray
557160675,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament I  - Genesis 1-11,Andrew Louth
53029213,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament Ia - Matthew 1-13,Manlio Simonetti
394979787,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament Ib - Matthew 14-28,Manlio Simonetti
428417700,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament III - Luke ,Arthur A. Just Jr.
150603160,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament IVa - John 1-10,Joel C. Elowsky
75224869,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament IVb - John 11-21,Joel C. Elowsky
163653107,CHAP-108 Bookcases (closest to chapel),2.3,"Ancient Christian Commentary on Scripture: New Testament IX - Colossians, 1-2 Thessalonians, 1-2 Timothy, Titus, Philemon",Peter Gorday
901384361,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament V - Acts,Francis Martin
22688873,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: New Testament VI - Romans,Gerald Bray
482136915,CHAP-108 Bookcases (closest to chapel),2.3,"Ancient Christian Commentary on Scripture: New Testament VIII - Galatians, Ephesians, Philippians",Mark J. Edwards
628344406,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: New Testament X - Hebrews,Erik M. Heen and Philip D. W. Krey
799050066,CHAP-108 Bookcases (closest to chapel),2.3,"Ancient Christian Commentary on Scripture: New Testament XI - James, 1-2 Peter, 1-3 John, Jude",Gerald Bray
791538436,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: New Testament XII - Revelation,William C. Weinrich
407342342,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: Old Testament II - Genesis 12-50,Mark Sheridan
468022091,CHAP-108 Bookcases (closest to chapel),2.2,"Ancient Christian Commentary on Scripture: Old Testament III - Exodus, Leviticus, Numbers, Deuteronomy",Joseph T. Lienhard
163685119,CHAP-108 Bookcases (closest to chapel),2.2,"Ancient Christian Commentary on Scripture: Old Testament IV - Joshua, Judges, Ruth, 1-2 Samuel",John R. Franke
780743130,CHAP-108 Bookcases (closest to chapel),2.3,"Ancient Christian Commentary on Scripture: Old Testament IX - Proverbs, Ecclesiasstees, Song of Solomon",J. Robert Wright
84720767,CHAP-108 Bookcases (closest to chapel),2.2,"Ancient Christian Commentary on Scripture: Old Testament V - 1-2 Kings, 1-2 Chronicles, Ezra, Nehemiah, Esther",Marco Conti
984697765,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: Old Testament VI - Job,Manlio Simonetti and Marco Conti
172923632,CHAP-108 Bookcases (closest to chapel),2.2,Ancient Christian Commentary on Scripture: Old Testament VII - Psalms 1-50,Craig A. Blaising and Carmen S. Hardin
672215432,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: Old Testament VIII - Psalms 51-150,Quentin F.  Wesselschmidt
916227646,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: Old Testament X - Isaiah 1-39,Steven A. McKinion
409395614,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: Old Testament XI - Isaiah 40-66,Mark W. Elliott
655555582,CHAP-108 Bookcases (closest to chapel),2.3,"Ancient Christian Commentary on Scripture: Old Testament XII - Jeremiah, Lamentations",Ddean O. Wenthe
687801114,CHAP-108 Bookcases (closest to chapel),2.3,"Ancient Christian Commentary on Scripture: Old Testament XIII - Ezekiel, Daniel",Kenneth Stevenson and Michael Glerup
745524367,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: Old Testament XIV - The Twelve Prophets,Alberto Ferreiro
591380288,CHAP-108 Bookcases (closest to chapel),2.3,Ancient Christian Commentary on Scripture: Old Testament XV - Apocrypha,Sever J. Voicu
360114068,Office # 108-A Bookcases,10.3,Ancient Christianity Commentary on Scripture: New Testament II: Mark,Thomas C. Oden & Christopher A. Hall
731723175,CHAP-108 Bookcases (closest to offices),8.4,Ancient Gospel or Modern Forgery: The Secret Gospel of Mark in Debate,Tony Burke
852005499,CHAP-108 Bookcases (closest to offices),7.3,Ancient Greece,Paul Cartledge
896546389,CHAP-108 Bookcases (closest to chapel),1.3,Apocalyptic Literature in the New Testament,Greg Carey
207203545,Office # 108-A Bookcases,10.2,Apocalyptic Thought in Early Christianity,Robert J. Daly
700028943,CHAP-108 Bookcases (closest to offices),7.4,Aquinas on Nature and Grace,A.M. Fairweather
116204187,Exterior (Next to Office),12.4,Armenian Apocrypha Relating To Angels and Biblical Heroes,Michael Stone
326505679,Exterior (Next to Office),12.4,Atlas of the Biblical World,"Mark Vitalis Hoffman, Robert A. Mullins"
784310430,CHAP-108 Bookcases (closest to offices),7.4,Augustine:  Later Works,John Burnaby
